timestamp,TIMESTAMP,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_P,GYRO_R,GYRO_Y,GSR_RES,GSR_CON,PPG_RAW,HEART_RATE,HRV
164426.6029,327417.0313,-6.767205238,5.412327766,-4.270496845,0.061068702,-0.381679386,-0.748091578,319.2134705,2766,1402.93042,-1,218.75
164426.6143,327424.8438,-6.764811516,5.443447113,-4.263315201,0.061068702,-0.183206111,-1.099236608,319.5194397,2764,1401.46521,-1,218.75
164426.6233,327432.6563,-6.769598961,5.445840836,-4.251346588,-0.015267176,-0.24427481,-1.038167953,319.3663635,2765,1400.732544,-1,218.75
164426.6314,327440.4688,-6.748054981,5.431478024,-4.265708923,-0.259541988,-0.305343509,-1.083969474,319.5194397,2764,1401.46521,-1,218.75
164426.6323,327448.2813,-6.750448704,5.443447113,-4.253740311,-0.381679386,-0.4427481,-0.946564913,319.2134705,2766,1403.662964,-1,218.75
164426.6493,327456.0938,-6.774386406,5.443447113,-4.246559143,-0.748091578,-0.106870227,-1.129770994,319.3663635,2765,1405.128174,-1,218.75
164426.657,327463.9063,-6.831837177,5.414721489,-4.359066486,-0.4427481,0.53435117,-0.946564913,319.3663635,2765,1409.523804,-1,218.75
164426.6642,327471.7188,-6.855774879,5.378815174,-4.361460209,-0.320610672,-0.305343509,-0.748091578,319.3663635,2765,1413.186768,-1,218.75
164426.6693,327479.5313,-6.815080643,5.364452362,-4.313584805,0.091603056,-0.656488538,-0.503816783,319.2134705,2766,1416.117188,-1,218.75
164426.6708,327487.3438,-6.853381157,5.424296856,-4.390185356,0.961832047,-0.213740453,-1.175572515,319.2134705,2766,1417.582397,-1,218.75
164426.6843,327495.1563,-6.805505753,5.445840836,-4.380610466,0.427480906,0,-0.824427485,319.2134705,2766,1417.582397,-1,218.75
164426.6941,327502.9688,-6.779174328,5.438659668,-4.311191082,-0.274809152,0.106870227,-0.473282456,319.2134705,2766,1416.849854,-1,218.75
164426.6954,327510.7813,-6.752842426,5.421903133,-4.323159695,-0.061068702,0.4427481,-1.297709942,319.2134705,2766,1413.919434,-1,218.75
164426.7043,327518.5938,-6.800718307,5.414721489,-4.332735062,0.106870227,0.793893158,-1.740458012,319.2134705,2766,1410.989014,-1,218.75
164426.7091,327526.4063,-6.800718307,5.378815174,-4.30640316,-0.045801528,0.763358772,-1.51145041,319.0606995,2767,1408.058594,-1,218.75
164426.7192,327534.2188,-6.80311203,5.33093977,-4.292040825,-0.015267176,0.641221344,-1.648854971,319.2134705,2766,1406.593384,-1,218.75
164426.7322,327542.0313,-6.81268692,5.347695827,-4.311191082,-0.076335877,0.824427485,-1.404580116,319.0606995,2767,1405.86084,-1,218.75
