Stamp,GSR
1848,684
1849,684
1850,685
1851,686
1852,688
1853,686
1854,679
1855,683
1856,689
1857,679
1858,684
1859,692
1860,686
1861,680
1862,680
1863,684
1864,687
1865,682
1866,697
1867,682
1868,686
1869,690
1870,681
1871,685
1872,683
1873,682
1874,677
1875,687
1876,685
1877,684
1878,688
1879,682
1880,683
1881,682
1882,686
1883,681
1884,685
1885,684
1886,680
1887,685
1888,681
1889,684
1890,691
1891,684
1892,688
1893,689
1894,684
1895,685
1896,691
1897,686
1898,690
1899,684
1900,673
1901,680
1902,696
1903,681
1904,681
1905,682
1906,679
1907,684
1908,682
1909,674
1910,686
1911,691
1912,685
1913,684
1914,683
1915,679
1916,681
1917,688
1918,691
1919,686
1920,681
1921,684
1922,694
1923,683
1924,685
1925,689
1926,685
1927,683
1928,679
1929,682
1930,683
1931,686
1932,684
1933,685
1934,686
1935,681
1936,684
1937,680
1938,679
1939,684
1940,682
1941,684
1942,685
1943,685
1944,684
1945,681
1946,681
1947,678
1948,680
1949,677
1950,679
1951,686
1952,684
1953,690
1954,679
1955,683
1956,681
1957,687
1958,689
1959,681
1960,689
1961,687
1962,685
1963,690
1964,684
1965,682
1966,683
1967,684
1968,676
1969,684
1970,684
1971,682
1972,688
1973,684
1974,692
1975,682
1976,682
1977,682
1978,682
1979,690
1980,685
1981,682
1982,676
1983,683
1984,682
1985,685
1986,688
1987,684
1988,685
1989,690
1990,681
1991,684
1992,686
1993,678
1994,690
1995,688
1996,688
1997,684
1998,687
1999,675
2000,688
2001,677
2002,688
2003,683
2004,682
2005,677
2006,682
2007,687
2008,686
2009,681
2010,679
2011,683
2012,682
2013,677
2014,692
2015,688
2016,690
2017,685
2018,677
2019,681
2020,687
2021,681
2022,679
2023,685
2024,683
2025,682
2026,682
2027,683
2028,689
2029,679
2030,680
2031,682
2032,687
2033,685
2034,683
2035,687
2036,693
2037,680
2038,688
2039,681
2040,679
2041,686
2042,687
2043,691
2044,690
2045,678
2046,675
2047,683
2048,691
2049,685
2050,687
2051,688
2052,687
2053,680
2054,686
2055,682
2056,685
2057,687
2058,681
2059,681
2060,684
2061,677
2062,682
2063,681
2064,679
